ITEM: TIMESTEP
 1
ITEM: NUMBER OF ATOMS
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.000033 -0.000015 0.000030
2 0.000028 1.668792 1.668717
3 1.668730 0.000025 1.668726
4 1.668752 1.668746 0.000013
5 3.337483 -0.000003 0.000048
6 3.337541 1.668763 1.668772
7 5.006209 0.000007 1.668698
8 5.006219 1.668709 0.000032
9 6.674960 -0.000015 -0.000040
10 6.674955 1.668801 1.668719
11 8.343748 0.000029 1.668762
12 8.343724 1.668761 0.000002
13 -0.000004 3.337545 -0.000023
14 0.000026 5.006250 1.668778
15 1.668736 3.337538 1.668727
16 1.668731 5.006281 0.000044
17 3.337451 3.337544 0.000001
18 3.337452 5.006215 1.668767
19 5.006289 3.337480 1.668704
20 5.006195 5.006243 -0.000047
21 6.674969 3.337547 0.000042
22 6.675034 5.006223 1.668754
23 8.343733 3.337523 1.668752
24 8.343764 5.006250 -0.000050
25 -0.000010 6.675043 0.000045
26 0.000020 8.343723 1.668775
27 1.668762 6.674981 1.668770
28 1.668710 8.343741 0.000040
29 3.337532 6.674978 -0.000030
30 3.337538 8.343731 1.668770
31 5.006296 6.675006 1.668767
32 5.006284 8.343741 0.000044
33 6.674986 6.675030 0.000018
34 6.675040 8.343745 1.668719
35 8.343795 6.675041 1.668713
36 8.343786 8.343761 -0.000010
37 0.000010 -0.000027 3.337530
38 -0.000024 1.668742 5.006220
39 1.668714 -0.000028 5.006255
40 1.668737 1.668715 3.337543
41 3.337455 -0.000048 3.337498
42 3.337524 1.668800 5.006295
43 5.006267 -0.000017 5.006276
44 5.006232 1.668728 3.337471
45 6.675006 -0.000036 3.337461
46 6.675021 1.668708 5.006280
47 8.343710 0.000019 5.006205
48 8.343794 1.668697 3.337502
49 -0.000038 3.337462 3.337530
50 0.000022 5.006263 5.006299
51 1.668762 3.337524 5.006207
52 1.668707 5.006250 3.337454
53 3.337451 3.337464 3.337494
54 3.337531 5.006255 5.006277
55 5.006199 3.337460 5.006304
56 5.006214 5.006290 3.337459
57 6.675050 3.337448 3.337538
58 6.674951 5.006195 5.006295
59 8.343756 3.337461 5.006215
60 8.343734 5.006291 3.337533
61 -0.000018 6.675002 3.337507
62 -0.000009 8.343766 5.006207
63 1.668750 6.675024 5.006229
64 1.668798 8.343756 3.337540
65 3.337524 6.675010 3.337448
66 3.337523 8.343783 5.006295
67 5.006287 6.675032 5.006302
68 5.006272 8.343791 3.337551
69 6.675015 6.674995 3.337462
70 6.675031 8.343789 5.006205
71 8.343762 6.674969 5.006265
72 8.343716 8.343767 3.337477
73 -0.000021 -0.000032 6.674954
74 0.000010 1.668718 8.343765
75 1.668748 0.000046 8.343725
76 1.668751 1.668774 6.674958
77 3.337494 0.000002 6.675046
78 3.337491 1.668730 8.343786
79 5.006240 -0.000058 8.343732
80 5.006257 1.668785 6.674971
81 6.675016 -0.000010 6.674997
82 6.674976 1.668770 8.343715
83 8.343759 -0.000056 8.343740
84 8.343767 1.668764 6.675014
85 -0.000020 3.337457 6.675010
86 0.000010 5.006271 8.343730
87 1.668773 3.337464 8.343794
88 1.668766 5.006265 6.674974
89 3.337500 3.337452 6.674973
90 3.337537 5.006267 8.343705
91 5.006205 3.337481 8.343757
92 5.006256 5.006266 6.674977
93 6.675027 3.337473 6.674980
94 6.674963 5.006299 8.343695
95 8.343781 3.337478 8.343716
96 8.343739 5.006296 6.675044
97 0.000025 6.675017 6.674958
98 0.000016 8.343734 8.343778
99 1.668794 6.675041 8.343788
100 1.668714 8.343779 6.675004
101 3.337475 6.675039 6.675042
102 3.337536 8.343747 8.343757
103 5.006211 6.674972 8.343788
104 5.006245 8.343744 6.675037
105 6.674997 6.674973 6.674964
106 6.675016 8.343771 8.343710
107 8.343757 6.674995 8.343786
108 8.343770 8.343712 6.674969
ITEM: TIMESTEP
 3
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.000067 -0.000029 0.000062
2 0.000056 1.668837 1.668683
3 1.668710 0.000048 1.668702
4 1.668754 1.668747 0.000027
5 3.337465 -0.000011 0.000095
6 3.337582 1.668780 1.668794
7 5.006168 0.000010 1.668647
8 5.006188 1.668672 0.000064
9 6.674922 -0.000034 -0.000080
10 6.674909 1.668858 1.668689
11 8.343745 0.000048 1.668777
12 8.343698 1.668771 0.000004
13 -0.000008 3.337585 -0.000046
14 0.000053 5.006250 1.668806
15 1.668723 3.337575 1.668707
16 1.668711 5.006313 0.000089
17 3.337403 3.337587 0.000001
18 3.337404 5.006181 1.668784
19 5.006328 3.337459 1.668660
20 5.006140 5.006238 -0.000094
21 6.674939 3.337592 0.000082
22 6.675068 5.006197 1.668758
23 8.343716 3.337544 1.668758
24 8.343776 5.006251 -0.000100
25 -0.000020 6.675086 0.000091
26 0.000038 8.343697 1.668801
27 1.668775 6.674961 1.668793
28 1.668667 8.343734 0.000080
29 3.337565 6.674955 -0.000062
30 3.337575 8.343714 1.668790
31 5.006343 6.675011 1.668787
32 5.006317 8.343733 0.000089
33 6.674973 6.675059 0.000035
34 6.675079 8.343742 1.668690
35 8.343839 6.675079 1.668680
36 8.343821 8.343770 -0.000024
37 0.000020 -0.000055 3.337561
38 -0.000049 1.668737 5.006190
39 1.668678 -0.000057 5.006261
40 1.668723 1.668689 3.337586
41 3.337410 -0.000105 3.337496
42 3.337548 1.668854 5.006341
43 5.006284 -0.000037 5.006304
44 5.006212 1.668717 3.337442
45 6.675013 -0.000086 3.337422
46 6.675043 1.668670 5.006311
47 8.343670 0.000031 5.006161
48 8.343835 1.668636 3.337503
49 -0.000076 3.337412 3.337559
50 0.000044 5.006278 5.006349
51 1.668775 3.337547 5.006166
52 1.668659 5.006254 3.337409
53 3.337403 3.337426 3.337485
54 3.337561 5.006263 5.006304
55 5.006149 3.337418 5.006360
56 5.006177 5.006337 3.337419
57 6.675101 3.337393 3.337573
58 6.674901 5.006142 5.006340
59 8.343763 3.337421 5.006183
60 8.343715 5.006327 3.337567
61 -0.000036 6.675002 3.337513
62 -0.000020 8.343784 5.006164
63 1.668750 6.675047 5.006211
64 1.668839 8.343766 3.337579
65 3.337548 6.675016 3.337394
66 3.337544 8.343817 5.006342
67 5.006325 6.675063 5.006356
68 5.006290 8.343835 3.337602
69 6.675031 6.674988 3.337421
70 6.675061 8.343829 5.006160
71 8.343775 6.674935 5.006283
72 8.343679 8.343780 3.337447
73 -0.000042 -0.000065 6.674910
74 0.000020 1.668689 8.343779
75 1.668747 0.000092 8.343699
76 1.668748 1.668807 6.674917
77 3.337490 -0.000007 6.675092
78 3.337482 1.668715 8.343821
79 5.006231 -0.000117 8.343714
80 5.006263 1.668827 6.674943
81 6.675033 -0.000032 6.674993
82 6.674951 1.668794 8.343679
83 8.343769 -0.000122 8.343731
84 8.343782 1.668772 6.675028
85 -0.000039 3.337399 6.675019
86 0.000021 5.006293 8.343709
87 1.668796 3.337428 8.343839
88 1.668780 5.006283 6.674948
89 3.337498 3.337400 6.674942
90 3.337573 5.006288 8.343659
91 5.006162 3.337462 8.343766
92 5.006260 5.006285 6.674955
93 6.675054 3.337443 6.674957
94 6.674927 5.006351 8.343640
95 8.343813 3.337453 8.343685
96 8.343725 5.006340 6.675089
97 0.000050 6.675033 6.674916
98 0.000031 8.343718 8.343806
99 1.668840 6.675081 8.343827
100 1.668675 8.343812 6.675009
101 3.337452 6.675075 6.675082
102 3.337571 8.343746 8.343763
103 5.006173 6.674943 8.343827
104 5.006236 8.343741 6.675074
105 6.674994 6.674944 6.674926
106 6.675030 8.343795 8.343670
107 8.343765 6.674987 8.343824
108 8.343791 8.343674 6.674939
ITEM: TIMESTEP
 4
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.000102 -0.000043 0.000097
2 0.000082 1.668888 1.668650
3 1.668692 0.000068 1.668680
4 1.668754 1.668756 0.000040
5 3.337448 -0.000024 0.000143
6 3.337623 1.668803 1.668816
7 5.006130 0.000010 1.668599
8 5.006156 1.668641 0.000096
9 6.674884 -0.000056 -0.000120
10 6.674862 1.668924 1.668659
11 8.343742 0.000053 1.668795
12 8.343670 1.668778 0.000006
13 -0.000011 3.337616 -0.000070
14 0.000081 5.006250 1.668835
15 1.668712 3.337610 1.668690
16 1.668692 5.006348 0.000134
17 3.337356 3.337628 -0.000001
18 3.337356 5.006151 1.668803
19 5.006370 3.337437 1.668620
20 5.006085 5.006237 -0.000140
21 6.674911 3.337635 0.000120
22 6.675101 5.006175 1.668763
23 8.343699 3.337561 1.668771
24 8.343787 5.006251 -0.000150
25 -0.000029 6.675128 0.000137
26 0.000053 8.343672 1.668827
27 1.668789 6.674940 1.668818
28 1.668611 8.343729 0.000120
29 3.337600 6.674931 -0.000095
30 3.337610 8.343699 1.668813
31 5.006391 6.675014 1.668810
32 5.006349 8.343728 0.000134
33 6.674962 6.675086 0.000050
34 6.675116 8.343742 1.668662
35 8.343884 6.675113 1.668654
36 8.343852 8.343776 -0.000045
37 0.000032 -0.000084 3.337593
38 -0.000075 1.668737 5.006160
39 1.668643 -0.000090 5.006268
40 1.668706 1.668676 3.337630
41 3.337367 -0.000173 3.337492
42 3.337572 1.668917 5.006386
43 5.006304 -0.000061 5.006333
44 5.006190 1.668721 3.337413
45 6.675022 -0.000155 3.337380
46 6.675063 1.668637 5.006342
47 8.343630 0.000033 5.006121
48 8.343874 1.668560 3.337505
49 -0.000112 3.337349 3.337586
50 0.000066 5.006293 5.006399
51 1.668789 3.337570 5.006129
52 1.668598 5.006264 3.337365
53 3.337356 3.337384 3.337473
54 3.337591 5.006273 5.006333
55 5.006101 3.337376 5.006420
56 5.006135 5.006403 3.337380
57 6.675154 3.337335 3.337603
58 6.674851 5.006096 5.006388
59 8.343769 3.337378 5.006156
60 8.343692 5.006350 3.337600
61 -0.000054 6.674999 3.337517
62 -0.000040 8.343803 5.006123
63 1.668743 6.675068 5.006198
64 1.668858 8.343781 3.337619
65 3.337574 6.675020 3.337335
66 3.337562 8.343855 5.006390
67 5.006364 6.675092 5.006414
68 5.006304 8.343885 3.337653
69 6.675048 6.674977 3.337376
70 6.675089 8.343873 5.006118
71 8.343787 6.674898 5.006308
72 8.343637 8.343788 3.337406
73 -0.000062 -0.000099 6.674868
74 0.000026 1.668665 8.343793
75 1.668748 0.000138 8.343672
76 1.668736 1.668852 6.674877
77 3.337495 -0.000034 6.675136
78 3.337472 1.668708 8.343856
79 5.006223 -0.000179 8.343694
80 5.006267 1.668882 6.674915
81 6.675051 -0.000075 6.674988
82 6.674926 1.668824 8.343642
83 8.343778 -0.000203 8.343723
84 8.343795 1.668771 6.675044
85 -0.000057 3.337320 6.675026
86 0.000033 5.006315 8.343688
87 1.668822 3.337390 8.343886
88 1.668792 5.006306 6.674924
89 3.337479 3.337344 6.674907
90 3.337609 5.006314 8.343612
91 5.006120 3.337441 8.343775
92 5.006262 5.006310 6.674934
93 6.675083 3.337409 6.674931
94 6.674890 5.006405 8.343583
95 8.343844 3.337425 8.343657
96 8.343707 5.006382 6.675134
97 0.000077 6.675046 6.674871
98 0.000045 8.343703 8.343833
99 1.668886 6.675119 8.343867
100 1.668631 8.343849 6.675015
101 3.337429 6.675108 6.675117
102 3.337604 8.343747 8.343769
103 5.006136 6.674913 8.343868
104 5.006223 8.343744 6.675112
105 6.674993 6.674911 6.674883
106 6.675042 8.343821 8.343629
107 8.343772 6.674976 8.343866
108 8.343811 8.343636 6.674908
ITEM: TIMESTEP
 5
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.000139 -0.000057 0.000135
2 0.000107 1.668948 1.668617
3 1.668677 0.000083 1.668661
4 1.668754 1.668775 0.000055
5 3.337428 -0.000045 0.000192
6 3.337664 1.668836 1.668838
7 5.006093 0.000003 1.668553
8 5.006123 1.668619 0.000129
9 6.674849 -0.000082 -0.000158
10 6.674814 1.669004 1.668629
11 8.343739 0.000038 1.668820
12 8.343640 1.668782 0.000009
13 -0.000013 3.337636 -0.000093
14 0.000112 5.006252 1.668864
15 1.668702 3.337643 1.668679
16 1.668672 5.006386 0.000180
17 3.337312 3.337666 -0.000007
18 3.337306 5.006126 1.668823
19 5.006413 3.337412 1.668586
20 5.006029 5.006239 -0.000184
21 6.674884 3.337676 0.000154
22 6.675134 5.006158 1.668770
23 8.343682 3.337572 1.668792
24 8.343795 5.006252 -0.000200
25 -0.000037 6.675171 0.000183
26 0.000059 8.343648 1.668855
27 1.668805 6.674920 1.668848
28 1.668535 8.343730 0.000161
29 3.337636 6.674905 -0.000131
30 3.337643 8.343687 1.668838
31 5.006441 6.675014 1.668840
32 5.006377 8.343727 0.000179
33 6.674953 6.675111 0.000062
34 6.675151 8.343744 1.668636
35 8.343928 6.675142 1.668635
36 8.343880 8.343778 -0.000073
37 0.000045 -0.000115 3.337627
38 -0.000102 1.668744 5.006130
39 1.668608 -0.000129 5.006276
40 1.668688 1.668679 3.337674
41 3.337326 -0.000255 3.337487
42 3.337595 1.668990 5.006432
43 5.006325 -0.000091 5.006365
44 5.006166 1.668746 3.337385
45 6.675032 -0.000251 3.337337
46 6.675084 1.668612 5.006375
47 8.343588 0.000026 5.006084
48 8.343908 1.668464 3.337508
49 -0.000148 3.337271 3.337609
50 0.000085 5.006312 5.006450
51 1.668805 3.337591 5.006096
52 1.668517 5.006281 3.337323
53 3.337312 3.337339 3.337457
54 3.337620 5.006289 5.006364
55 5.006054 3.337332 5.006486
56 5.006088 5.006499 3.337341
57 6.675209 3.337271 3.337628
58 6.674800 5.006060 5.006437
59 8.343774 3.337331 5.006136
60 8.343664 5.006351 3.337634
61 -0.000070 6.674993 3.337518
62 -0.000076 8.343825 5.006083
63 1.668725 6.675087 5.006190
64 1.668845 8.343803 3.337660
65 3.337601 6.675017 3.337271
66 3.337578 8.343897 5.006441
67 5.006405 6.675118 5.006478
68 5.006311 8.343943 3.337705
69 6.675067 6.674959 3.337324
70 6.675113 8.343921 5.006078
71 8.343800 6.674856 5.006342
72 8.343588 8.343790 3.337351
73 -0.000081 -0.000134 6.674828
74 0.000028 1.668647 8.343805
75 1.668750 0.000182 8.343645
76 1.668710 1.668909 6.674838
77 3.337512 -0.000086 6.675178
78 3.337461 1.668712 8.343889
79 5.006218 -0.000243 8.343672
80 5.006269 1.668955 6.674888
81 6.675071 -0.000147 6.674980
82 6.674901 1.668861 8.343605
83 8.343788 -0.000304 8.343717
84 8.343804 1.668755 6.675059
85 -0.000075 3.337212 6.675030
86 0.000045 5.006337 8.343665
87 1.668849 3.337351 8.343934
88 1.668800 5.006336 6.674902
89 3.337432 3.337281 6.674866
90 3.337644 5.006350 8.343565
91 5.006080 3.337419 8.343786
92 5.006261 5.006342 6.674916
93 6.675114 3.337369 6.674898
94 6.674852 5.006464 8.343524
95 8.343876 3.337392 8.343634
96 8.343683 5.006421 6.675180
97 0.000104 6.675057 6.674825
98 0.000057 8.343689 8.343858
99 1.668935 6.675155 8.343910
100 1.668582 8.343894 6.675022
101 3.337409 6.675134 6.675146
102 3.337634 8.343751 8.343774
103 5.006102 6.674880 8.343911
104 5.006203 8.343754 6.675151
105 6.674994 6.674871 6.674834
106 6.675051 8.343852 8.343586
107 8.343780 6.674960 8.343914
108 8.343831 8.343598 6.674877
ITEM: TIMESTEP
 6
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.000179 -0.000071 0.000177
2 0.000130 1.669018 1.668584
3 1.668664 0.000093 1.668645
4 1.668752 1.668807 0.000070
5 3.337406 -0.000077 0.000241
6 3.337705 1.668880 1.668860
7 5.006059 -0.000012 1.668512
8 5.006090 1.668608 0.000162
9 6.674816 -0.000112 -0.000195
10 6.674765 1.669103 1.668600
11 8.343736 -0.000003 1.668851
12 8.343609 1.668780 0.000012
13 -0.000014 3.337642 -0.000117
14 0.000145 5.006254 1.668893
15 1.668695 3.337673 1.668675
16 1.668653 5.006428 0.000227
17 3.337269 3.337701 -0.000017
18 3.337256 5.006106 1.668844
19 5.006458 3.337385 1.668558
20 5.005972 5.006248 -0.000227
21 6.674860 3.337713 0.000185
22 6.675165 5.006146 1.668778
23 8.343666 3.337576 1.668824
24 8.343800 5.006253 -0.000249
25 -0.000043 6.675214 0.000231
26 0.000056 8.343624 1.668885
27 1.668824 6.674898 1.668882
28 1.668433 8.343736 0.000202
29 3.337675 6.674877 -0.000170
30 3.337674 8.343679 1.668865
31 5.006493 6.675011 1.668876
32 5.006402 8.343731 0.000225
33 6.674946 6.675133 0.000070
34 6.675184 8.343750 1.668613
35 8.343973 6.675165 1.668628
36 8.343903 8.343775 -0.000112
37 0.000061 -0.000149 3.337661
38 -0.000131 1.668762 5.006100
39 1.668572 -0.000175 5.006286
40 1.668667 1.668704 3.337718
41 3.337287 -0.000358 3.337480
42 3.337618 1.669076 5.006478
43 5.006348 -0.000130 5.006400
44 5.006138 1.668796 3.337357
45 6.675045 -0.000380 3.337291
46 6.675103 1.668596 5.006410
47 8.343545 0.000007 5.006051
48 8.343936 1.668341 3.337511
49 -0.000183 3.337178 3.337627
50 0.000101 5.006337 5.006503
51 1.668824 3.337610 5.006069
52 1.668409 5.006308 3.337282
53 3.337270 3.337288 3.337435
54 3.337648 5.006317 5.006396
55 5.006010 3.337286 5.006558
56 5.006035 5.006635 3.337302
57 6.675266 3.337200 3.337647
58 6.674747 5.006037 5.006489
59 8.343778 3.337281 5.006123
60 8.343628 5.006322 3.337669
61 -0.000085 6.674983 3.337515
62 -0.000133 8.343850 5.006045
63 1.668690 6.675102 5.006189
64 1.668798 8.343836 3.337701
65 3.337632 6.675008 3.337198
66 3.337589 8.343944 5.006495
67 5.006451 6.675142 5.006550
68 5.006309 8.344010 3.337757
69 6.675089 6.674935 3.337264
70 6.675134 8.343974 5.006041
71 8.343812 6.674807 5.006386
72 8.343530 8.343782 3.337276
73 -0.000098 -0.000171 6.674793
74 0.000023 1.668639 8.343817
75 1.668755 0.000226 8.343615
76 1.668665 1.668981 6.674802
77 3.337542 -0.000169 6.675218
78 3.337448 1.668733 8.343922
79 5.006215 -0.000312 8.343649
80 5.006268 1.669052 6.674862
81 6.675093 -0.000258 6.674970
82 6.674875 1.668908 8.343566
83 8.343797 -0.000431 8.343713
84 8.343809 1.668720 6.675077
85 -0.000091 3.337068 6.675030
86 0.000060 5.006359 8.343640
87 1.668878 3.337309 8.343984
88 1.668805 5.006376 6.674882
89 3.337345 3.337210 6.674816
90 3.337677 5.006400 8.343515
91 5.006042 3.337394 8.343800
92 5.006256 5.006382 6.674899
93 6.675147 3.337322 6.674857
94 6.674814 5.006528 8.343462
95 8.343907 3.337354 8.343616
96 8.343652 5.006457 6.675227
97 0.000132 6.675062 6.674775
98 0.000068 8.343675 8.343883
99 1.668986 6.675188 8.343956
100 1.668525 8.343948 6.675029
101 3.337391 6.675152 6.675168
102 3.337662 8.343760 8.343777
103 5.006069 6.674844 8.343957
104 5.006175 8.343775 6.675191
105 6.674998 6.674824 6.674778
106 6.675056 8.343887 8.343543
107 8.343787 6.674937 8.343967
108 8.343852 8.343560 6.674847
ITEM: TIMESTEP
 7
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.000220 -0.000085 0.000225
2 0.000150 1.669102 1.668550
3 1.668653 0.000094 1.668634
4 1.668748 1.668853 0.000086
5 3.337381 -0.000123 0.000291
6 3.337745 1.668938 1.668882
7 5.006027 -0.000036 1.668475
8 5.006055 1.668610 0.000196
9 6.674787 -0.000148 -0.000230
10 6.674713 1.669223 1.668571
11 8.343732 -0.000074 1.668891
12 8.343574 1.668772 0.000015
13 -0.000013 3.337629 -0.000142
14 0.000180 5.006258 1.668923
15 1.668691 3.337700 1.668679
16 1.668633 5.006474 0.000274
17 3.337230 3.337731 -0.000032
18 3.337205 5.006093 1.668867
19 5.006507 3.337356 1.668538
20 5.005913 5.006263 -0.000269
21 6.674839 3.337746 0.000211
22 6.675196 5.006140 1.668787
23 8.343649 3.337571 1.668870
24 8.343801 5.006253 -0.000298
25 -0.000049 6.675257 0.000279
26 0.000043 8.343602 1.668917
27 1.668845 6.674876 1.668922
28 1.668304 8.343748 0.000243
29 3.337717 6.674845 -0.000212
30 3.337701 8.343675 1.668896
31 5.006549 6.675005 1.668921
32 5.006422 8.343740 0.000271
33 6.674942 6.675150 0.000073
34 6.675213 8.343761 1.668593
35 8.344017 6.675179 1.668633
36 8.343920 8.343767 -0.000164
37 0.000079 -0.000187 3.337698
38 -0.000162 1.668791 5.006070
39 1.668535 -0.000231 5.006299
40 1.668643 1.668755 3.337764
41 3.337252 -0.000488 3.337471
42 3.337640 1.669176 5.006526
43 5.006374 -0.000179 5.006438
44 5.006105 1.668878 3.337330
45 6.675061 -0.000550 3.337242
46 6.675121 1.668593 5.006449
47 8.343501 -0.000026 5.006024
48 8.343958 1.668186 3.337515
49 -0.000216 3.337069 3.337642
50 0.000113 5.006367 5.006557
51 1.668845 3.337629 5.006049
52 1.668275 5.006345 3.337243
53 3.337230 3.337231 3.337406
54 3.337673 5.006360 5.006432
55 5.005969 3.337238 5.006637
56 5.005974 5.006822 3.337265
57 6.675326 3.337122 3.337656
58 6.674693 5.006033 5.006545
59 8.343781 3.337225 5.006120
60 8.343584 5.006255 3.337704
61 -0.000099 6.674968 3.337508
62 -0.000218 8.343880 5.006010
63 1.668634 6.675114 5.006198
64 1.668716 8.343879 3.337742
65 3.337669 6.674990 3.337115
66 3.337595 8.343997 5.006552
67 5.006508 6.675162 5.006631
68 5.006297 8.344089 3.337810
69 6.675114 6.674901 3.337194
70 6.675149 8.344034 5.006007
71 8.343825 6.674750 5.006444
72 8.343460 8.343763 3.337179
73 -0.000113 -0.000210 6.674762
74 0.000009 1.668642 8.343827
75 1.668763 0.000266 8.343585
76 1.668597 1.669068 6.674767
77 3.337585 -0.000290 6.675255
78 3.337433 1.668773 8.343953
79 5.006215 -0.000388 8.343623
80 5.006264 1.669178 6.674838
81 6.675119 -0.000415 6.674957
82 6.674848 1.668967 8.343526
83 8.343807 -0.000591 8.343712
84 8.343808 1.668662 6.675095
85 -0.000106 3.336880 6.675025
86 0.000076 5.006380 8.343614
87 1.668911 3.337265 8.344037
88 1.668804 5.006429 6.674865
89 3.337206 3.337129 6.674756
90 3.337708 5.006465 8.343464
91 5.006007 3.337367 8.343816
92 5.006245 5.006433 6.674886
93 6.675184 3.337265 6.674808
94 6.674776 5.006598 8.343398
95 8.343938 3.337309 8.343605
96 8.343611 5.006487 6.675276
97 0.000162 6.675063 6.674722
98 0.000076 8.343663 8.343907
99 1.669040 6.675217 8.344006
100 1.668459 8.344012 6.675039
101 3.337376 6.675162 6.675180
102 3.337685 8.343774 8.343779
103 5.006040 6.674805 8.344007
104 5.006137 8.343807 6.675232
105 6.675005 6.674768 6.674713
106 6.675056 8.343929 8.343498
107 8.343794 6.674906 8.344029
108 8.343872 8.343522 6.674816
ITEM: TIMESTEP
 8
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.000265 -0.000099 0.000278
